3.075,5.87785,32,-130
3.1,3.09017,60,-54
3.125,0,82,26
3.15,-3.09017,96,106
3.175,-5.87785,100,176
3.2,-8.09017,100,232
3.225,-9.51056,98,270
3.25,-10,98,282
3.275,-9.51056,98,270
3.3,-8.09017,102,234
3.325,-5.87785,104,178
3.35,-3.09017,100,108
3.375,0,88,30
3.4,3.09017,68,-52
3.425,5.87785,42,-126
3.45,8.09017,18,-188
3.475,9.51056,0,-230
3.5,10,-6,-244
3.525,9.51056,2,-230
3.55,8.09017,20,-188
3.575,5.87785,48,-124
3.6,3.09017,74,-50
3.625,0,94,32
3.65,-3.09017,108,110
3.675,-5.87785,112,182
3.7,-8.09017,110,238
3.725,-9.51056,108,274
3.75,-10,106,286
3.775,-9.51056,108,274
3.8,-8.09017,112,238
3.825,-5.87785,116,182
3.85,-3.09017,112,112
3.875,0,102,34
3.9,3.09017,82,-46
3.925,5.87785,58,-122
3.95,8.09017,34,-184
3.975,9.51056,16,-224
4,10,10,-238
4.025,9.51056,18,-224
4.05,8.09017,36,-182
4.075,5.87785,62,-120
4.1,3.09017,88,-44
4.125,0,108,36
4.15,-3.09017,120,116
4.175,-5.87785,124,186
4.2,-8.09017,122,242
4.225,-9.51056,118,278
4.25,-10,116,292
4.275,-9.51056,120,280
4.3,-8.09017,124,244
4.325,-5.87785,126,188
4.35,-3.09017,124,118
4.375,0,114,40
4.4,3.09017,96,-40
4.425,5.87785,72,-116
4.45,8.09017,50,-178
4.475,9.51056,32,-218
4.5,10,26,-234
4.525,9.51056,34,-218
4.55,8.09017,52,-176
4.575,5.87785,78,-114
4.6,3.09017,102,-38
4.625,0,122,42
4.65,-3.09017,132,122
4.675,-5.87785,134,192
4.7,-8.09017,132,248
4.725,-9.51056,128,284
4.75,-10,126,296
4.775,-9.51056,130,284
4.8,-8.09017,134,248
4.825,-5.87785,138,194
4.85,-3.09017,138,124
4.875,0,128,46
4.9,3.09017,112,-34
4.925,5.87785,88,-110
4.95,8.09017,66,-172
4.975,9.51056,48,-214
5,10,42,-228
5.025,9.51056,50,-212
5.05,8.09017,68,-170
5.075,5.87785,92,-108
5.1,3.09017,118,-32
5.125,0,136,48
5.15,-3.09017,144,126
5.175,-5.87785,146,198
5.2,-8.09017,142,254
5.225,-9.51056,138,290
5.25,-10,136,302
5.275,-9.51056,140,290
5.3,-8.09017,144,254
5.325,-5.87785,150,198
5.35,-3.09017,150,130
5.375,0,142,52
5.4,3.09017,126,-30
5.425,5.87785,104,-104
5.45,8.09017,82,-166
5.475,9.51056,64,-206
5.5,10,58,-222
5.525,9.51056,66,-206
5.55,8.09017,84,-164
5.575,5.87785,108,-102
5.6,3.09017,132,-26
5.625,0,150,54
5.65,-3.09017,158,132
5.675,-5.87785,158,202
5.7,-8.09017,154,258
5.725,-9.51056,148,296
5.75,-10,146,308
5.775,-9.51056,150,296
5.8,-8.09017,156,260
5.825,-5.87785,162,204
5.85,-3.09017,162,136
5.875,0,156,58
5.9,3.09017,140,-22
5.925,5.87785,120,-98
5.95,8.09017,98,-160
5.975,9.51056,80,-200
6,10,76,-214
6.025,9.51056,82,-200
6.05,8.09017,100,-158
6.075,5.87785,124,-96
6.1,3.09017,146,-20
6.125,0,162,60
6.15,-3.09017,170,138
6.175,-5.87785,170,208
6.2,-8.09017,164,264
6.225,-9.51056,158,300
6.25,-10,156,314
6.275,-9.51056,160,302
6.3,-8.09017,166,266
6.325,-5.87785,172,210
6.35,-3.09017,176,142
6.375,0,170,64
6.4,3.09017,156,-16
6.425,5.87785,136,-92
6.45,8.09017,114,-154
6.475,9.51056,98,-194
6.5,10,92,-208
6.525,9.51056,100,-194
6.55,8.09017,116,-152
6.575,5.87785,140,-90
6.6,3.09017,162,-14
6.625,0,176,66
6.65,-3.09017,182,144
6.675,-5.87785,182,214
6.7,-8.09017,174,270
6.725,-9.51056,168,306
6.75,-10,166,320
6.775,-9.51056,170,308
6.8,-8.09017,176,272
6.825,-5.87785,184,216
6.85,-3.09017,188,148
6.875,0,184,70
6.9,3.09017,170,-10
6.925,5.87785,152,-84
6.95,8.09017,130,-146
6.975,9.51056,114,-188
7,10,110,-202
7.025,9.51056,116,-186
7.05,8.09017,134,-144
7.075,5.87785,156,-82
7.1,3.09017,176,-8
7.125,0,190,72
7.15,-3.09017,196,152
7.175,-5.87785,192,222
7.2,-8.09017,186,276
7.225,-9.51056,180,314
7.25,-10,176,326
7.275,-9.51056,180,314
7.3,-8.09017,188,278
7.325,-5.87785,196,224
7.35,-3.09017,200,154
7.375,0,198,76
7.4,3.09017,186,-4
7.425,5.87785,168,-78
7.45,8.09017,148,-140
7.475,9.51056,132,-180
7.5,10,126,-194
7.525,9.51056,134,-180
7.55,8.09017,150,-138
7.575,5.87785,172,-76
7.6,3.09017,192,0
7.625,0,204,80
7.65,-3.09017,208,158
7.675,-5.87785,204,228
7.7,-8.09017,196,284
7.725,-9.51056,190,320
7.75,-10,186,332
7.775,-9.51056,190,320
7.8,-8.09017,198,284
7.825,-5.87785,208,230
7.85,-3.09017,214,160
7.875,0,212,84
7.9,3.09017,202,4
7.925,5.87785,184,-70
7.95,8.09017,164,-132
7.975,9.51056,150,-174
8,10,144,-188
8.025,9.51056,150,-172
8.05,8.09017,168,-130
8.075,5.87785,188,-68
8.1,3.09017,208,6
8.125,0,220,86
8.15,-3.09017,222,164
8.175,-5.87785,216,234
8.2,-8.09017,208,290
8.225,-9.51056,200,326
8.25,-10,196,338
8.275,-9.51056,200,326
8.3,-8.09017,210,292
8.325,-5.87785,220,236
8.35,-3.09017,226,168
8.375,0,226,90
8.4,3.09017,216,10
8.425,5.87785,200,-64
8.45,8.09017,182,-124
8.475,9.51056,166,-166
8.5,10,162,-180
8.525,9.51056,168,-164
8.55,8.09017,184,-124
8.575,5.87785,206,-62
8.6,3.09017,224,14
8.625,0,234,94
8.65,-3.09017,234,172
8.675,-5.87785,228,242
8.7,-8.09017,218,296
8.725,-9.51056,210,332
8.75,-10,208,346
8.775,-9.51056,212,334
8.8,-8.09017,220,298
8.825,-5.87785,232,244
8.85,-3.09017,240,174
8.875,0,240,98
8.9,3.09017,232,18
8.925,5.87785,216,-56
8.95,8.09017,198,-118
8.975,9.51056,184,-158
9,10,180,-172
9.025,9.51056,186,-158
9.05,8.09017,202,-116
9.075,5.87785,222,-54
9.1,3.09017,238,22
9.125,0,248,100
9.15,-3.09017,248,178
9.175,-5.87785,240,248
9.2,-8.09017,230,304
9.225,-9.51056,220,340
9.25,-10,218,352
9.275,-9.51056,222,340
9.3,-8.09017,232,306
9.325,-5.87785,244,250
9.35,-3.09017,254,182
9.375,0,256,104
9.4,3.09017,248,26
9.425,5.87785,234,-48
9.45,8.09017,216,-110
9.475,9.51056,202,-150
9.5,10,198,-164
9.525,9.51056,204,-150
9.55,8.09017,220,-108
9.575,5.87785,238,-46
9.6,3.09017,254,28
9.625,0,262,108
9.65,-3.09017,262,186
9.675,-5.87785,252,256
9.7,-8.09017,240,312
9.725,-9.51056,230,348
9.75,-10,228,360
9.775,-9.51056,232,348
9.8,-8.09017,242,312
9.825,-5.87785,256,258
9.85,-3.09017,266,190
9.875,0,270,112
9.9,3.09017,264,34
9.925,5.87785,252,-40
9.95,8.09017,234,-102
9.975,9.51056,222,-142
10,10,216,-156
9.51056,9.975,198,-162
8.09017,9.95,148,-184
5.87785,9.925,72,-214
3.09017,9.9,-18,-246
0,9.875,-114,-272
-3.09017,9.85,-206,-288
-5.87785,9.825,-290,-296
-8.09017,9.8,-358,-298
-9.51056,9.775,-402,-296
-10,9.75,-418,-294
-9.51056,9.725,-402,-294
-8.09017,9.7,-356,-294
-5.87785,9.675,-288,-292
-3.09017,9.65,-204,-282
0,9.625,-110,-264
3.09017,9.6,-14,-236
5.87785,9.575,76,-204
8.09017,9.55,152,-172
9.51056,9.525,204,-150
10,9.5,222,-140
9.51056,9.475,204,-148
8.09017,9.45,154,-170
5.87785,9.425,78,-200
3.09017,9.4,-10,-230
0,9.375,-106,-256
-3.09017,9.35,-198,-274
-5.87785,9.325,-282,-282
-8.09017,9.3,-348,-282
-9.51056,9.275,-392,-282
-10,9.25,-408,-280
-9.51056,9.225,-392,-280
-8.09017,9.2,-346,-280
-5.87785,9.175,-278,-278
-3.09017,9.15,-196,-268
0,9.125,-102,-250
3.09017,9.1,-6,-222
5.87785,9.075,84,-190
8.09017,9.05,158,-158
9.51056,9.025,210,-136
10,9,228,-126
9.51056,8.975,210,-134
8.09017,8.95,160,-154
5.87785,8.925,86,-184
3.09017,8.9,-4,-216
0,8.875,-98,-242
-3.09017,8.85,-190,-260
-5.87785,8.825,-272,-268
-8.09017,8.8,-340,-268
-9.51056,8.775,-382,-268
-10,8.75,-398,-266
-9.51056,8.725,-382,-266
-8.09017,8.7,-338,-266
-5.87785,8.675,-270,-264
-3.09017,8.65,-188,-254
0,8.625,-94,-234
3.09017,8.6,0,-208
5.87785,8.575,90,-174
8.09017,8.55,164,-144
9.51056,8.525,214,-120
10,8.5,232,-112
9.51056,8.475,214,-120
8.09017,8.45,166,-140
5.87785,8.425,92,-170
3.09017,8.4,2,-202
0,8.375,-92,-228
-3.09017,8.35,-182,-244
-5.87785,8.325,-264,-254
-8.09017,8.3,-330,-254
-9.51056,8.275,-374,-254
-10,8.25,-388,-252
-9.51056,8.225,-372,-252
-8.09017,8.2,-328,-252
-5.87785,8.175,-262,-250
-3.09017,8.15,-180,-240
0,8.125,-88,-220
3.09017,8.1,6,-192
5.87785,8.075,96,-160
8.09017,8.05,170,-130
9.51056,8.025,220,-106
10,8,238,-98
9.51056,7.975,220,-106
8.09017,7.95,170,-126
5.87785,7.925,96,-156
3.09017,7.9,10,-186
0,7.875,-84,-214
-3.09017,7.85,-174,-230
-5.87785,7.825,-256,-240
-8.09017,7.8,-322,-242
-9.51056,7.775,-364,-240
-10,7.75,-378,-238
-9.51056,7.725,-364,-238
-8.09017,7.7,-320,-238
-5.87785,7.675,-254,-236
-3.09017,7.65,-172,-226
0,7.625,-80,-206
3.09017,7.6,12,-178
5.87785,7.575,100,-146
8.09017,7.55,174,-114
9.51056,7.525,224,-92
10,7.5,242,-84
9.51056,7.475,224,-92
8.09017,7.45,176,-112
5.87785,7.425,102,-142
3.09017,7.4,16,-172
0,7.375,-78,-198
-3.09017,7.35,-168,-216
-5.87785,7.325,-248,-226
-8.09017,7.3,-312,-228
-9.51056,7.275,-354,-226
-10,7.25,-370,-226
-9.51056,7.225,-354,-224
-8.09017,7.2,-310,-224
-5.87785,7.175,-246,-222
-3.09017,7.15,-164,-210
0,7.125,-74,-192
3.09017,7.1,18,-164
5.87785,7.075,106,-132
8.09017,7.05,178,-100
